EntryID,SignFrequency(M),SignType,SelectedFingers,Flexion,MajorLocation,Movement
lion,3.32,OneHanded,imrp,2,Head,Curved
thin,3.333,SymmetricalOrAlternating,p,1,Neutral,Straight
golf,3.333,Other,i,2,Neutral,Curved
doll,3.333,OneHanded,i,2,Head,BackAndForth
heaven,3.333,SymmetricalOrAlternating,imrp,3,Neutral,Other
dryer,3.333,OneHanded,i,1,Head,Straight
devil,3.355,OneHanded,im,1,Head,None
shrimp,3.357,OneHanded,i,1,Neutral,Straight
deer,3.36,SymmetricalOrAlternating,imrp,1,Head,BackAndForth
mouse,3.36,OneHanded,i,1,Head,None
cigarette,3.367,AsymmetricalDifferentHandshape,ip,1,Hand,BackAndForth
duck,3.37,OneHanded,im,4,Head,None
fire,3.4,SymmetricalOrAlternating,imrp,1,Neutral,Circular
same_2,3.4,SymmetricalOrAlternating,i,1,Neutral,BackAndForth
call_tty,3.4,AsymmetricalDifferentHandshape,i,2,Hand,Straight
snake,3.4,OneHanded,im,2,Head,BackAndForth
diaper,3.407,SymmetricalOrAlternating,im,1,Body,BackAndForth
gun,3.407,OneHanded,thumb,1,Neutral,None
cloud_2,3.407,SymmetricalOrAlternating,imrp,5,Neutral,Circular
pile,3.417,SymmetricalOrAlternating,imrp,5,Neutral,Curved
scroll_down,3.423,OneHanded,i,2,Neutral,Straight
stir,3.423,AsymmetricalDifferentHandshape,i,2,Hand,Circular
cover_up,3.429,AsymmetricalSameHandshape,imrp,1,Hand,Straight
gullible,3.433,OneHanded,i,1,Body,Curved
center,3.433,AsymmetricalSameHandshape,imrp,1,Hand,BackAndForth
jealous,3.433,OneHanded,p,3,Head,Circular
smoking,3.433,OneHanded,im,1,Neutral,BackAndForth
spoon,3.44,AsymmetricalSameHandshape,im,1,Hand,BackAndForth
sunset,3.44,AsymmetricalSameHandshape,imrp,5,Neutral,Curved
queen,3.44,OneHanded,i,4,Body,Curved
biology,3.444,SymmetricalOrAlternating,imrp,1,Neutral,Circular
vomit,3.444,SymmetricalOrAlternating,imrp,1,Neutral,Curved
kill,3.444,AsymmetricalDifferentHandshape,i,4,Hand,Straight
promote,3.462,SymmetricalOrAlternating,imrp,4,Neutral,Curved
engineer,3.48,SymmetricalOrAlternating,p,1,Neutral,None
heart,3.48,SymmetricalOrAlternating,m,3,Body,Curved
wave,3.48,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
bracelet,3.48,AsymmetricalDifferentHandshape,i,5,Arm,BackAndForth
lighter,3.481,OneHanded,thumb,1,Neutral,None
percent,3.483,OneHanded,imrp,6,Neutral,Other
prison,3.5,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
cough,3.5,OneHanded,imrp,7,Body,Circular
forever,3.5,OneHanded,i,1,Head,None
upload,3.5,SymmetricalOrAlternating,im,1,Neutral,Curved
prayer,3.5,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
horse,3.516,OneHanded,im,1,Head,None
scientist,3.516,SymmetricalOrAlternating,thumb,1,Neutral,Circular
prefer,3.52,OneHanded,imrp,3,Body,Straight
about_2,3.522,AsymmetricalDifferentHandshape,i,1,Hand,Circular
protection,3.533,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
guilty,3.538,OneHanded,i,4,Body,BackAndForth
try,3.542,SymmetricalOrAlternating,imrp,7,Neutral,Curved
wander,3.548,OneHanded,i,1,Neutral,BackAndForth
temptation,3.552,AsymmetricalDifferentHandshape,i,1,Arm,BackAndForth
umbrella,3.556,SymmetricalOrAlternating,imrp,7,Hand,BackAndForth
push,3.556,SymmetricalOrAlternating,imrp,1,Neutral,Straight
deep,3.567,AsymmetricalDifferentHandshape,i,4,Hand,Straight
skirt,3.567,SymmetricalOrAlternating,imrp,1,Body,Curved
point,3.577,AsymmetricalDifferentHandshape,i,3,Hand,BackAndForth
pie,3.581,AsymmetricalDifferentHandshape,imrp,1,Hand,Other
peach,3.581,OneHanded,imrp,3,Head,None
stomach,3.586,OneHanded,imrp,3,Body,BackAndForth
metal,3.593,OneHanded,i,2,Head,BackAndForth
coconut,3.593,SymmetricalOrAlternating,imrp,5,Head,BackAndForth
canada,3.6,OneHanded,imrp,7,Body,BackAndForth
blood,3.6,AsymmetricalDifferentHandshape,i,1,Head,None
peace,3.6,SymmetricalOrAlternating,imrp,1,Neutral,Other
earth,3.6,AsymmetricalDifferentHandshape,m,5,Hand,BackAndForth
throw,3.6,OneHanded,im,7,Neutral,Straight
mop,3.615,SymmetricalOrAlternating,imrp,7,Neutral,BackAndForth
patient_1,3.625,OneHanded,im,Stacked,Arm,Other
character,3.625,OneHanded,imrp,5,Body,Circular
farm,3.625,OneHanded,thumb,3,Head,BackAndForth
turtle,3.63,AsymmetricalDifferentHandshape,thumb,1,Hand,None
earthquake,3.64,AsymmetricalDifferentHandshape,m,3,Hand,None
perfect,3.654,SymmetricalOrAlternating,i,6,Neutral,Other
sweater,3.654,SymmetricalOrAlternating,imrp,5,Body,Curved
honor,3.667,SymmetricalOrAlternating,im,1,Head,Curved
flag,3.667,AsymmetricalDifferentHandshape,imrp,1,Neutral,BackAndForth
africa,3.667,OneHanded,imrp,1,Neutral,Curved
cow,3.677,OneHanded,p,1,Head,None
pants,3.677,SymmetricalOrAlternating,imrp,1,Body,Other
sandwich,3.677,AsymmetricalDifferentHandshape,imrp,3,Head,BackAndForth
thief_2,3.68,AsymmetricalDifferentHandshape,im,1,Arm,Straight
hotdog,3.68,SymmetricalOrAlternating,imrp,5,Neutral,Straight
new_york,3.68,AsymmetricalDifferentHandshape,p,1,Hand,BackAndForth
mechanic_1,3.68,AsymmetricalDifferentHandshape,im,1,Hand,None
war,3.68,SymmetricalOrAlternating,imrp,3,Neutral,BackAndForth
figure,3.69,SymmetricalOrAlternating,im,1,Neutral,BackAndForth
cherry,3.69,AsymmetricalDifferentHandshape,imrp,6,Hand,None
vacuum,3.692,OneHanded,i,7,Neutral,Other
computer,3.7,SymmetricalOrAlternating,m,3,Neutral,Circular
rock,3.7,AsymmetricalSameHandshape,imrp,7,Hand,BackAndForth
embarrass,3.7,SymmetricalOrAlternating,imrp,1,Head,Circular
motorcycle,3.704,AsymmetricalSameHandshape,imrp,7,Neutral,None
shoulder,3.704,OneHanded,imrp,4,Body,BackAndForth
boat,3.704,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
floor,3.72,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
brag,3.72,SymmetricalOrAlternating,p,1,Body,BackAndForth
butterfly,3.72,SymmetricalOrAlternating,imrp,1,Neutral,None
lonely,3.72,OneHanded,i,1,Head,BackAndForth
lipstick,3.72,OneHanded,i,2,Head,BackAndForth
waste,3.724,SymmetricalOrAlternating,imrp,1,Hand,BackAndForth
line,3.733,SymmetricalOrAlternating,p,1,Neutral,Straight
candle,3.733,AsymmetricalDifferentHandshape,imrp,1,Hand,None
brush,3.733,OneHanded,imrp,7,Head,Straight
fall_2,3.733,OneHanded,im,1,Neutral,Curved
disappear,3.741,AsymmetricalDifferentHandshape,i,1,Hand,Straight
behavior,3.741,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
glasses,3.75,SymmetricalOrAlternating,i,3,Head,BackAndForth
rude,3.75,AsymmetricalDifferentHandshape,m,3,Hand,Straight
army,3.76,SymmetricalOrAlternating,imrp,7,Body,BackAndForth
vote,3.76,AsymmetricalDifferentHandshape,i,6,Hand,BackAndForth
swallow,3.76,OneHanded,i,1,Body,Curved
oops,3.769,OneHanded,imrp,1,Head,None
microwave,3.778,SymmetricalOrAlternating,imrp,7,Neutral,BackAndForth
playground,3.778,SymmetricalOrAlternating,p,1,Neutral,None
cause,3.778,SymmetricalOrAlternating,imrp,7,Neutral,Straight
pull,3.778,SymmetricalOrAlternating,imrp,7,Neutral,Straight
popcorn,3.778,SymmetricalOrAlternating,i,6,Neutral,BackAndForth
forfeit,3.8,OneHanded,i,6,Neutral,Curved
soccer,3.8,AsymmetricalDifferentHandshape,imrp,1,Hand,BackAndForth
strict,3.8,OneHanded,im,2,Head,None
psychologist,3.8,AsymmetricalDifferentHandshape,imrp,1,Hand,BackAndForth
punish,3.8,AsymmetricalDifferentHandshape,i,1,Arm,Straight
loud,3.808,SymmetricalOrAlternating,i,1,Head,BackAndForth
what_2,3.815,AsymmetricalDifferentHandshape,i,1,Hand,Straight
jump,3.828,AsymmetricalDifferentHandshape,im,1,Hand,BackAndForth
razor,3.833,OneHanded,i,2,Head,BackAndForth
poor,3.833,OneHanded,imrp,3,Arm,BackAndForth
wristwatch,3.84,AsymmetricalDifferentHandshape,i,6,Arm,BackAndForth
lawyer,3.84,AsymmetricalDifferentHandshape,i,1,Hand,Curved
freeway,3.84,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
glove,3.846,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
bottle,3.846,AsymmetricalDifferentHandshape,imrp,5,Hand,Straight
holiday,3.846,SymmetricalOrAlternating,thumb,3,Body,BackAndForth
light_weight,3.867,SymmetricalOrAlternating,m,3,Neutral,Curved
cracker,3.867,AsymmetricalDifferentHandshape,imrp,7,Arm,BackAndForth
lose_game,3.867,AsymmetricalDifferentHandshape,im,1,Hand,Straight
earring,3.867,SymmetricalOrAlternating,i,5,Head,None
banana,3.875,AsymmetricalDifferentHandshape,imrp,4,Hand,BackAndForth
shy,3.88,OneHanded,imrp,5,Head,None
whatever,3.88,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
alphabet,3.88,OneHanded,imrp,7,Neutral,None
pill,3.88,OneHanded,i,6,Head,None
after,3.88,AsymmetricalSameHandshape,imrp,1,Hand,Curved
pig,3.885,OneHanded,imrp,1,Head,None
computer_mouse,3.9,OneHanded,i,1,Head,BackAndForth
country,3.9,AsymmetricalDifferentHandshape,p,1,Arm,Circular
eyeglasses,3.905,SymmetricalOrAlternating,i,2,Head,BackAndForth
snob,3.92,OneHanded,ip,1,Head,Curved
horrible,3.923,SymmetricalOrAlternating,m,6,Head,Curved
cancellation,3.933,AsymmetricalDifferentHandshape,i,1,Hand,Other
friendly,3.933,SymmetricalOrAlternating,imrp,1,Head,Straight
spaghetti,3.935,SymmetricalOrAlternating,p,1,Neutral,Circular
keyboard,3.95,SymmetricalOrAlternating,imrp,5,Neutral,None
zoom_in,3.958,SymmetricalOrAlternating,i,7,Neutral,Straight
tournament,3.96,SymmetricalOrAlternating,im,2,Neutral,BackAndForth
subtract,3.96,AsymmetricalDifferentHandshape,imrp,5,Hand,Straight
dance,3.96,AsymmetricalDifferentHandshape,im,1,Hand,BackAndForth
february,3.963,OneHanded,i,6,Neutral,None
theater,3.963,SymmetricalOrAlternating,thumb,1,Body,Circular
alone,3.963,OneHanded,i,1,Neutral,Circular
power,3.966,OneHanded,imrp,5,Arm,BackAndForth
drunk,3.967,OneHanded,thumb,1,Head,Curved
staff,3.967,OneHanded,imrp,7,Body,Curved
suspect,3.967,OneHanded,i,1,Head,None
weak,3.967,AsymmetricalDifferentHandshape,imrp,1,Hand,BackAndForth
deodorant,3.968,OneHanded,imrp,7,Body,BackAndForth
nurse,4.0,AsymmetricalDifferentHandshape,im,1,Hand,BackAndForth
deny,4.0,SymmetricalOrAlternating,thumb,1,Head,BackAndForth
south,4.0,OneHanded,imrp,7,Neutral,Straight
cabbage,4.0,OneHanded,imrp,2,Head,BackAndForth
traffic,4.0,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
way,4.033,SymmetricalOrAlternating,imrp,1,Neutral,Straight
price,4.033,AsymmetricalDifferentHandshape,i,2,Hand,Straight
shocked,4.037,Other,i,1,Head,None
newspaper,4.037,AsymmetricalDifferentHandshape,i,3,Hand,BackAndForth
cheat_1,4.037,AsymmetricalDifferentHandshape,im,1,Hand,BackAndForth
lesson,4.038,AsymmetricalDifferentHandshape,imrp,4,Hand,Curved
breathe,4.038,SymmetricalOrAlternating,imrp,1,Body,BackAndForth
judge,4.04,SymmetricalOrAlternating,i,6,Neutral,BackAndForth
balance,4.067,SymmetricalOrAlternating,imrp,4,Neutral,BackAndForth
paint,4.074,AsymmetricalSameHandshape,imrp,1,Hand,BackAndForth
smile,4.074,SymmetricalOrAlternating,i,1,Head,Curved
east,4.077,OneHanded,imrp,2,Neutral,Straight
lose,4.077,AsymmetricalDifferentHandshape,im,1,Hand,Straight
hotel,4.08,AsymmetricalDifferentHandshape,im,1,Hand,None
bar,4.087,OneHanded,thumb,1,Head,BackAndForth
stupid_1,4.1,OneHanded,im,1,Head,Straight
worry,4.1,SymmetricalOrAlternating,imrp,1,Head,Circular
ugly,4.1,OneHanded,i,1,Head,Straight
shorts,4.1,SymmetricalOrAlternating,imrp,1,Body,BackAndForth
divorce,4.1,SymmetricalOrAlternating,i,1,Neutral,Straight
downsize_2,4.111,SymmetricalOrAlternating,i,1,Neutral,Straight
