EntryID,SignFrequency(M),SelectedFingers,Flexion,Movement
prison,3.5,imrp,1,BackAndForth
cough,3.5,imrp,7,Circular
forever,3.5,i,1,None
upload,3.5,im,1,Curved
prayer,3.5,imrp,1,BackAndForth
horse,3.516,im,1,None
scientist,3.516,thumb,1,Circular
prefer,3.52,imrp,3,Straight
about_2,3.522,i,1,Circular
protection,3.533,imrp,1,BackAndForth
guilty,3.538,i,4,BackAndForth
try,3.542,imrp,7,Curved
wander,3.548,i,1,BackAndForth
temptation,3.552,i,1,BackAndForth
umbrella,3.556,imrp,7,BackAndForth
push,3.556,imrp,1,Straight
deep,3.567,i,4,Straight
skirt,3.567,imrp,1,Curved
point,3.577,i,3,BackAndForth
pie,3.581,imrp,1,Other
peach,3.581,imrp,3,None
stomach,3.586,imrp,3,BackAndForth
metal,3.593,i,2,BackAndForth
coconut,3.593,imrp,5,BackAndForth
canada,3.6,imrp,7,BackAndForth
blood,3.6,i,1,None
peace,3.6,imrp,1,Other
earth,3.6,m,5,BackAndForth
throw,3.6,im,7,Straight
mop,3.615,imrp,7,BackAndForth
patient_1,3.625,im,Stacked,Other
character,3.625,imrp,5,Circular
farm,3.625,thumb,3,BackAndForth
turtle,3.63,thumb,1,None
earthquake,3.64,m,3,None
perfect,3.654,i,6,Other
sweater,3.654,imrp,5,Curved
honor,3.667,im,1,Curved
flag,3.667,imrp,1,BackAndForth
africa,3.667,imrp,1,Curved
cow,3.677,p,1,None
pants,3.677,imrp,1,Other
sandwich,3.677,imrp,3,BackAndForth
thief_2,3.68,im,1,Straight
hotdog,3.68,imrp,5,Straight
new_york,3.68,p,1,BackAndForth
mechanic_1,3.68,im,1,None
war,3.68,imrp,3,BackAndForth
figure,3.69,im,1,BackAndForth
cherry,3.69,imrp,6,None
vacuum,3.692,i,7,Other
computer,3.7,m,3,Circular
rock,3.7,imrp,7,BackAndForth
embarrass,3.7,imrp,1,Circular
motorcycle,3.704,imrp,7,None
shoulder,3.704,imrp,4,BackAndForth
boat,3.704,imrp,1,BackAndForth
floor,3.72,imrp,1,BackAndForth
brag,3.72,p,1,BackAndForth
butterfly,3.72,imrp,1,None
lonely,3.72,i,1,BackAndForth
lipstick,3.72,i,2,BackAndForth
waste,3.724,imrp,1,BackAndForth
line,3.733,p,1,Straight
candle,3.733,imrp,1,None
brush,3.733,imrp,7,Straight
fall_2,3.733,im,1,Curved
disappear,3.741,i,1,Straight
behavior,3.741,imrp,1,BackAndForth
glasses,3.75,i,3,BackAndForth
rude,3.75,m,3,Straight
army,3.76,imrp,7,BackAndForth
vote,3.76,i,6,BackAndForth
swallow,3.76,i,1,Curved
oops,3.769,imrp,1,None
microwave,3.778,imrp,7,BackAndForth
playground,3.778,p,1,None
cause,3.778,imrp,7,Straight
pull,3.778,imrp,7,Straight
popcorn,3.778,i,6,BackAndForth
forfeit,3.8,i,6,Curved
soccer,3.8,imrp,1,BackAndForth
strict,3.8,im,2,None
psychologist,3.8,imrp,1,BackAndForth
punish,3.8,i,1,Straight
loud,3.808,i,1,BackAndForth
what_2,3.815,i,1,Straight
jump,3.828,im,1,BackAndForth
razor,3.833,i,2,BackAndForth
poor,3.833,imrp,3,BackAndForth
wristwatch,3.84,i,6,BackAndForth
lawyer,3.84,i,1,Curved
freeway,3.84,imrp,1,BackAndForth
glove,3.846,imrp,1,BackAndForth
bottle,3.846,imrp,5,Straight
holiday,3.846,thumb,3,BackAndForth
light_weight,3.867,m,3,Curved
cracker,3.867,imrp,7,BackAndForth
lose_game,3.867,im,1,Straight
earring,3.867,i,5,None
banana,3.875,imrp,4,BackAndForth
shy,3.88,imrp,5,None
whatever,3.88,imrp,1,BackAndForth
alphabet,3.88,imrp,7,None
pill,3.88,i,6,None
after,3.88,imrp,1,Curved
pig,3.885,imrp,1,None
computer_mouse,3.9,i,1,BackAndForth
country,3.9,p,1,Circular
eyeglasses,3.905,i,2,BackAndForth
snob,3.92,ip,1,Curved
horrible,3.923,m,6,Curved
cancellation,3.933,i,1,Other
friendly,3.933,imrp,1,Straight
spaghetti,3.935,p,1,Circular
keyboard,3.95,imrp,5,None
zoom_in,3.958,i,7,Straight
tournament,3.96,im,2,BackAndForth
subtract,3.96,imrp,5,Straight
dance,3.96,im,1,BackAndForth
february,3.963,i,6,None
theater,3.963,thumb,1,Circular
alone,3.963,i,1,Circular
power,3.966,imrp,5,BackAndForth
drunk,3.967,thumb,1,Curved
staff,3.967,imrp,7,Curved
suspect,3.967,i,1,None
weak,3.967,imrp,1,BackAndForth
deodorant,3.968,imrp,7,BackAndForth
nurse,4.0,im,1,BackAndForth
deny,4.0,thumb,1,BackAndForth
south,4.0,imrp,7,Straight
cabbage,4.0,imrp,2,BackAndForth
traffic,4.0,imrp,1,BackAndForth
way,4.033,imrp,1,Straight
price,4.033,i,2,Straight
shocked,4.037,i,1,None
newspaper,4.037,i,3,BackAndForth
cheat_1,4.037,im,1,BackAndForth
lesson,4.038,imrp,4,Curved
breathe,4.038,imrp,1,BackAndForth
judge,4.04,i,6,BackAndForth
balance,4.067,imrp,4,BackAndForth
paint,4.074,imrp,1,BackAndForth
smile,4.074,i,1,Curved
east,4.077,imrp,2,Straight
lose,4.077,im,1,Straight
hotel,4.08,im,1,None
bar,4.087,thumb,1,BackAndForth
stupid_1,4.1,im,1,Straight
worry,4.1,imrp,1,Circular
ugly,4.1,i,1,Straight
shorts,4.1,imrp,1,BackAndForth
divorce,4.1,i,1,Straight
downsize_2,4.111,i,1,Straight
match,4.111,imrp,2,Straight
far,4.115,imrp,7,Curved
baseball,4.12,imrp,7,BackAndForth
accident,4.12,imrp,1,Straight
napkin,4.13,imrp,1,Circular
doctor,4.13,imrp,4,BackAndForth
jacket,4.133,imrp,7,Curved
pity,4.133,m,3,Circular
music,4.133,imrp,1,BackAndForth
cousin,4.133,imrp,5,None
fat,4.133,imrp,1,Curved
9_oclock,4.133,i,6,None
west,4.154,imr,1,Straight
set_up,4.16,thumb,1,Circular
research,4.16,im,Crossed,Circular
neutral,4.167,im,4,BackAndForth
corn_1,4.185,i,1,BackAndForth
toast,4.185,im,5,Curved
zero,4.192,imrp,6,Straight
wood,4.2,imrp,1,BackAndForth
bridge,4.2,im,1,Curved
behind,4.2,thumb,1,Circular
secret,4.2,thumb,1,BackAndForth
awkward,4.2,im,1,BackAndForth
gallaudet,4.2,i,3,BackAndForth
earn,4.207,imrp,5,Curved
chance,4.208,imrp,5,Curved
gossip,4.222,i,3,Circular
sympathy,4.222,m,3,Circular
