EntryID,SignFrequency(M),SignType,SelectedFingers,Flexion,MajorLocation,Movement
wink,3.0,OneHanded,i,3,Head,None
pepper,3.0,OneHanded,i,6,Neutral,BackAndForth
bridesmaid,3.0,SymmetricalOrAlternating,imrp,7,Neutral,BackAndForth
benefit,3.0,OneHanded,i,6,Body,BackAndForth
jigsaw_puzzle,3.0,SymmetricalOrAlternating,thumb,1,Neutral,BackAndForth
haircut,3.0,SymmetricalOrAlternating,im,1,Head,Curved
trophy,3.0,SymmetricalOrAlternating,p,1,Neutral,BackAndForth
lightning,3.038,OneHanded,i,1,Neutral,BackAndForth
loyal,3.038,OneHanded,i,3,Body,Circular
china,3.038,OneHanded,i,1,Body,None
pliers,3.04,OneHanded,imrp,5,Neutral,BackAndForth
king,3.067,OneHanded,im,Stacked,Body,Curved
necklace,3.074,SymmetricalOrAlternating,i,1,Body,Curved
underwear,3.08,SymmetricalOrAlternating,i,1,Body,BackAndForth
lawnmower,3.08,SymmetricalOrAlternating,imrp,7,Neutral,BackAndForth
tiger,3.097,SymmetricalOrAlternating,imrp,1,Head,BackAndForth
snow,3.097,OneHanded,imrp,1,Body,Straight
france,3.111,OneHanded,i,6,Neutral,Circular
volleyball,3.111,SymmetricalOrAlternating,m,6,Neutral,BackAndForth
russia,3.111,OneHanded,i,1,Head,Other
bear,3.115,SymmetricalOrAlternating,imrp,1,Body,BackAndForth
indian,3.138,OneHanded,thumb,1,Head,None
download,3.138,SymmetricalOrAlternating,mrp,6,Neutral,Straight
europe,3.138,OneHanded,imrp,2,Head,Circular
ski,3.148,SymmetricalOrAlternating,i,2,Neutral,BackAndForth
zipper,3.148,AsymmetricalSameHandshape,imrp,7,Body,BackAndForth
electrician,3.148,SymmetricalOrAlternating,i,2,Neutral,BackAndForth
angel,3.167,SymmetricalOrAlternating,imrp,1,Body,None
disney,3.167,OneHanded,m,6,Head,None
bone,3.167,SymmetricalOrAlternating,im,2,Neutral,BackAndForth
shovel,3.167,SymmetricalOrAlternating,imrp,7,Neutral,Other
cloud_1,3.167,SymmetricalOrAlternating,imrp,2,Head,Circular
measure,3.179,AsymmetricalSameHandshape,p,1,Hand,None
pretend,3.192,OneHanded,i,1,Head,BackAndForth
spider,3.192,SymmetricalOrAlternating,imrp,5,Neutral,Straight
humble,3.2,OneHanded,i,1,Head,None
hairdryer,3.2,OneHanded,i,1,Head,BackAndForth
river,3.2,OneHanded,imr,1,Head,None
dice,3.222,OneHanded,imrp,7,Neutral,BackAndForth
gold,3.231,OneHanded,i,1,Head,None
mouth,3.233,OneHanded,i,1,Head,Circular
bra,3.24,SymmetricalOrAlternating,i,1,Body,BackAndForth
sweep,3.259,AsymmetricalSameHandshape,imrp,1,Hand,Circular
elephant,3.259,OneHanded,imrp,1,Head,Other
chicago,3.259,OneHanded,imrp,5,Neutral,Other
furniture,3.261,OneHanded,i,6,Neutral,BackAndForth
jewish,3.267,OneHanded,imrp,3,Head,BackAndForth
concept,3.273,OneHanded,imrp,5,Head,Straight
carrot,3.296,OneHanded,imrp,7,Head,None
beard,3.3,SymmetricalOrAlternating,imrp,5,Head,Curved
blind,3.32,OneHanded,im,5,Head,Curved
lion,3.32,OneHanded,imrp,2,Head,Curved
thin,3.333,SymmetricalOrAlternating,p,1,Neutral,Straight
doll,3.333,OneHanded,i,2,Head,BackAndForth
heaven,3.333,SymmetricalOrAlternating,imrp,3,Neutral,Other
dryer,3.333,OneHanded,i,1,Head,Straight
devil,3.355,OneHanded,im,1,Head,None
shrimp,3.357,OneHanded,i,1,Neutral,Straight
deer,3.36,SymmetricalOrAlternating,imrp,1,Head,BackAndForth
mouse,3.36,OneHanded,i,1,Head,None
duck,3.37,OneHanded,im,4,Head,None
fire,3.4,SymmetricalOrAlternating,imrp,1,Neutral,Circular
same_2,3.4,SymmetricalOrAlternating,i,1,Neutral,BackAndForth
snake,3.4,OneHanded,im,2,Head,BackAndForth
diaper,3.407,SymmetricalOrAlternating,im,1,Body,BackAndForth
gun,3.407,OneHanded,thumb,1,Neutral,None
cloud_2,3.407,SymmetricalOrAlternating,imrp,5,Neutral,Circular
pile,3.417,SymmetricalOrAlternating,imrp,5,Neutral,Curved
scroll_down,3.423,OneHanded,i,2,Neutral,Straight
cover_up,3.429,AsymmetricalSameHandshape,imrp,1,Hand,Straight
gullible,3.433,OneHanded,i,1,Body,Curved
center,3.433,AsymmetricalSameHandshape,imrp,1,Hand,BackAndForth
jealous,3.433,OneHanded,p,3,Head,Circular
smoking,3.433,OneHanded,im,1,Neutral,BackAndForth
spoon,3.44,AsymmetricalSameHandshape,im,1,Hand,BackAndForth
sunset,3.44,AsymmetricalSameHandshape,imrp,5,Neutral,Curved
queen,3.44,OneHanded,i,4,Body,Curved
biology,3.444,SymmetricalOrAlternating,imrp,1,Neutral,Circular
vomit,3.444,SymmetricalOrAlternating,imrp,1,Neutral,Curved
promote,3.462,SymmetricalOrAlternating,imrp,4,Neutral,Curved
engineer,3.48,SymmetricalOrAlternating,p,1,Neutral,None
heart,3.48,SymmetricalOrAlternating,m,3,Body,Curved
wave,3.48,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
lighter,3.481,OneHanded,thumb,1,Neutral,None
percent,3.483,OneHanded,imrp,6,Neutral,Other
prison,3.5,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
cough,3.5,OneHanded,imrp,7,Body,Circular
forever,3.5,OneHanded,i,1,Head,None
upload,3.5,SymmetricalOrAlternating,im,1,Neutral,Curved
prayer,3.5,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
horse,3.516,OneHanded,im,1,Head,None
scientist,3.516,SymmetricalOrAlternating,thumb,1,Neutral,Circular
prefer,3.52,OneHanded,imrp,3,Body,Straight
protection,3.533,SymmetricalOrAlternating,imrp,1,Neutral,BackAndForth
guilty,3.538,OneHanded,i,4,Body,BackAndForth
try,3.542,SymmetricalOrAlternating,imrp,7,Neutral,Curved
wander,3.548,OneHanded,i,1,Neutral,BackAndForth
umbrella,3.556,SymmetricalOrAlternating,imrp,7,Hand,BackAndForth
push,3.556,SymmetricalOrAlternating,imrp,1,Neutral,Straight
skirt,3.567,SymmetricalOrAlternating,imrp,1,Body,Curved
peach,3.581,OneHanded,imrp,3,Head,None
stomach,3.586,OneHanded,imrp,3,Body,BackAndForth
metal,3.593,OneHanded,i,2,Head,BackAndForth
coconut,3.593,SymmetricalOrAlternating,imrp,5,Head,BackAndForth
canada,3.6,OneHanded,imrp,7,Body,BackAndForth
peace,3.6,SymmetricalOrAlternating,imrp,1,Neutral,Other
throw,3.6,OneHanded,im,7,Neutral,Straight
mop,3.615,SymmetricalOrAlternating,imrp,7,Neutral,BackAndForth
character,3.625,OneHanded,imrp,5,Body,Circular
farm,3.625,OneHanded,thumb,3,Head,BackAndForth
perfect,3.654,SymmetricalOrAlternating,i,6,Neutral,Other
sweater,3.654,SymmetricalOrAlternating,imrp,5,Body,Curved
honor,3.667,SymmetricalOrAlternating,im,1,Head,Curved
